id,name,finalVote,delegates
1,Bernie Sanders,"1,089,373",167
3,Joe Biden,"817,728",116
27,Michael Bloomberg,"457,217",15
4,Elizabeth Warren,"398,124",5
2,Pete Buttigieg,"198,721",0
5,Amy Klobuchar,"98,852",0
7,Tom Steyer,"84,784",0
6,Andrew Yang,"30,964",0
10,Tulsi Gabbard,"21,943",0
18,Julian Castro,"9,986",0
8,Michael Bennet,"5,145",0
15,Marianne Williamson,"4,929",0
32,Roque De La Fuente III,"4,286",0
12,Cory Booker,"4,250",0
17,John Delaney,"3,250",0
29,Mark Greenstein,"2,334",0
21,Michael Ellinger,"2,328",0
13,Joe Sestak,"2,224",0
11,Deval Patrick,"1,507",0
26,Mosie Boyd,"1,180",0
