
id,name,finalVote,delegates
3,Joe Biden,"716,030",111
1,Bernie Sanders,"622,360",102
27,Michael Bloomberg,"298,262",10
4,Elizabeth Warren,"237,028",5
2,Pete Buttigieg,"82,221",0
5,Amy Klobuchar,"43,027",0
18,Julian Castro,"16,844",0
7,Tom Steyer,"13,801",0
8,Michael Bennet,"10,408",0
10,Tulsi Gabbard,"8,695",0
6,Andrew Yang,"6,673",0
32,Roque De La Fuente III,"5,590",0
12,Cory Booker,"4,914",0
15,Marianne Williamson,"3,902",0
17,John Delaney,"3,277",0
19,Robby Wells,"1,514",0
11,Deval Patrick,"1,316",0
